ch1,ch2,ch3,ch4,classification
25.87890625,40.52734375,39.55078125,81.54296875,0
23.4375,35.64453125,43.9453125,18.06640625,0
21.97265625,28.3203125,56.640625,-12.20703125,0
21.484375,30.2734375,46.875,39.0625,0
31.73828125,32.2265625,36.1328125,77.63671875,0
28.80859375,30.2734375,56.640625,23.92578125,0
26.3671875,26.3671875,43.45703125,-17.08984375,0
38.57421875,28.80859375,23.4375,31.25,0
37.59765625,31.25,35.15625,74.70703125,0
34.1796875,28.3203125,40.0390625,48.33984375,0
32.71484375,30.76171875,39.55078125,3.90625,0
22.4609375,35.64453125,34.1796875,13.18359375,0
19.04296875,41.015625,27.83203125,0.0,0
19.53125,43.9453125,34.66796875,0.0,0
19.04296875,33.203125,44.921875,0.0,0
22.4609375,30.2734375,58.10546875,0.0,0
26.3671875,43.45703125,40.0390625,0.0,0
28.80859375,50.29296875,30.2734375,0.0,0
32.71484375,46.38671875,45.8984375,0.0,0
36.62109375,47.8515625,59.5703125,0.0,0
38.0859375,46.38671875,50.78125,0.0,0
29.78515625,44.921875,51.26953125,0.0,0
18.5546875,48.33984375,41.9921875,0.0,0
20.01953125,48.828125,21.484375,0.0,0
0.0,42.96875,20.01953125,0.0,0
0.0,33.203125,35.64453125,0.0,0
0.0,32.71484375,67.3828125,0.0,0
0.0,46.38671875,53.22265625,0.0,0
0.0,53.7109375,35.15625,0.0,0
0.0,53.22265625,56.640625,0.0,0
0.0,55.6640625,55.6640625,0.0,0
0.0,56.15234375,45.8984375,0.0,0
0.0,50.29296875,43.45703125,0.0,0
0.0,45.41015625,49.8046875,0.0,0
0.0,46.875,37.59765625,0.0,0
0.0,50.29296875,24.4140625,0.0,0
0.0,51.26953125,26.3671875,0.0,0
0.0,47.8515625,51.7578125,0.0,0
0.0,48.828125,57.6171875,0.0,0
0.0,48.33984375,37.109375,0.0,0
0.0,45.8984375,22.94921875,0.0,0
0.0,43.9453125,17.578125,0.0,0
0.0,47.36328125,12.6953125,0.0,0
0.0,53.22265625,14.6484375,0.0,0
0.0,47.36328125,38.57421875,0.0,0
0.0,45.41015625,41.9921875,0.0,0
0.0,53.22265625,33.203125,0.0,0
0.0,58.10546875,31.73828125,0.0,0
0.0,49.8046875,0.0,0.0,0
0.0,42.48046875,0.0,0.0,0
0.0,40.0390625,0.0,0.0,0
0.0,38.57421875,0.0,0.0,0
0.0,45.8984375,0.0,0.0,0
0.0,46.875,0.0,0.0,0
0.0,45.8984375,0.0,0.0,0
0.0,45.41015625,0.0,0.0,0
0.0,41.015625,0.0,0.0,0
0.0,45.8984375,0.0,0.0,0
0.0,43.9453125,0.0,0.0,0
0.0,35.64453125,0.0,0.0,0
27.83203125,47.36328125,0.0,68.359375,0
30.2734375,55.6640625,0.0,56.640625,0
29.78515625,51.7578125,0.0,-7.8125,0
27.34375,46.875,0.0,-3.90625,0
26.3671875,41.9921875,0.0,59.5703125,0
32.71484375,46.38671875,0.0,77.1484375,0
30.76171875,55.6640625,0.0,18.06640625,0
19.04296875,55.6640625,0.0,-12.20703125,0
22.4609375,54.6875,0.0,44.921875,0
28.80859375,55.6640625,0.0,82.03125,0
20.01953125,54.19921875,0.0,28.3203125,0
22.4609375,51.26953125,0.0,-16.11328125,0
32.71484375,61.5234375,9.765625,55.17578125,0
26.3671875,65.4296875,30.2734375,1.953125,0
15.13671875,46.38671875,62.5,-8.30078125,0
11.71875,35.64453125,57.6171875,47.36328125,0
5.37109375,42.96875,41.015625,58.10546875,0
4.8828125,50.78125,24.90234375,-3.90625,0
10.25390625,49.8046875,20.5078125,-25.390625,0
14.6484375,44.43359375,31.73828125,31.25,0
18.5546875,43.45703125,40.52734375,61.03515625,0
19.53125,47.36328125,21.97265625,12.6953125,0
25.390625,54.6875,12.20703125,-22.4609375,0
38.0859375,58.10546875,19.04296875,32.2265625,0
38.0859375,53.22265625,18.06640625,86.9140625,0
22.94921875,47.8515625,29.296875,40.52734375,0
15.13671875,47.36328125,25.87890625,-19.53125,0
16.11328125,47.36328125,23.92578125,4.39453125,0
19.04296875,44.43359375,28.80859375,65.91796875,0
10.25390625,41.50390625,27.83203125,53.22265625,0
5.37109375,47.36328125,44.921875,-13.18359375,0
17.08984375,49.8046875,48.33984375,-4.8828125,0
18.06640625,45.8984375,38.0859375,52.24609375,0
15.625,47.36328125,23.4375,65.91796875,0
21.97265625,61.03515625,1.46484375,7.8125,0
21.484375,58.59375,0.48828125,-23.4375,0
19.53125,41.015625,-8.7890625,31.25,0
14.16015625,34.1796875,20.01953125,57.12890625,0
12.6953125,40.52734375,57.12890625,8.7890625,0
13.671875,52.734375,48.828125,-33.69140625,0
15.13671875,53.7109375,45.41015625,12.6953125,0
44.921875,47.36328125,54.19921875,101.5625,0
54.6875,52.734375,48.33984375,78.61328125,0
25.390625,58.59375,32.2265625,-24.4140625,0
20.5078125,55.6640625,30.76171875,-24.90234375,0
41.015625,58.10546875,32.2265625,64.94140625,0
47.8515625,67.3828125,22.4609375,70.80078125,0
38.57421875,70.80078125,12.6953125,-1.46484375,0
39.55078125,71.2890625,15.625,-6.34765625,0
46.38671875,72.265625,19.53125,61.5234375,0
39.0625,70.80078125,17.08984375,73.73046875,0
33.69140625,67.87109375,18.5546875,17.08984375,0
36.62109375,72.265625,19.04296875,-11.71875,0
42.96875,73.2421875,18.5546875,40.0390625,0
41.50390625,72.265625,19.53125,79.1015625,0
37.59765625,79.1015625,15.13671875,19.04296875,0
40.52734375,74.21875,14.16015625,-27.83203125,0
39.0625,70.80078125,13.18359375,11.23046875,0
40.52734375,74.70703125,4.39453125,69.82421875,0
43.9453125,78.125,4.8828125,57.6171875,0
47.8515625,78.125,10.25390625,-5.37109375,0
55.17578125,78.61328125,4.39453125,13.18359375,0
55.6640625,67.3828125,7.8125,84.47265625,0
62.01171875,54.19921875,19.04296875,89.84375,0
63.4765625,65.4296875,25.87890625,22.4609375,0
52.734375,73.73046875,32.2265625,1.46484375,0
56.15234375,79.1015625,44.43359375,63.4765625,0
63.96484375,82.51953125,46.38671875,89.84375,0
62.01171875,80.56640625,43.45703125,43.45703125,0
62.98828125,78.61328125,42.96875,9.27734375,0
71.2890625,76.171875,34.66796875,58.59375,0
69.82421875,72.75390625,32.71484375,104.00390625,0
62.5,71.2890625,37.109375,56.640625,0
65.91796875,73.73046875,31.73828125,4.39453125,0
68.84765625,68.84765625,33.203125,40.0390625,0
71.2890625,62.98828125,42.48046875,100.09765625,0
71.2890625,63.96484375,45.41015625,81.0546875,0
69.82421875,65.91796875,43.9453125,24.4140625,0
66.89453125,66.40625,38.57421875,22.4609375,0
62.98828125,62.01171875,38.57421875,78.61328125,0
64.453125,56.15234375,43.45703125,87.890625,0
60.546875,54.19921875,49.8046875,30.2734375,0
54.19921875,57.6171875,40.0390625,8.30078125,0
51.26953125,55.6640625,22.4609375,62.01171875,0
44.921875,55.17578125,30.76171875,98.6328125,0
41.9921875,58.10546875,44.921875,43.45703125,0
40.52734375,56.640625,45.8984375,0.0,0
47.36328125,58.10546875,41.015625,49.31640625,0
52.734375,59.08203125,32.2265625,102.05078125,0
49.8046875,62.5,33.69140625,62.01171875,0
45.8984375,60.05859375,42.48046875,-4.39453125,0
41.9921875,58.59375,50.29296875,10.7421875,0
42.96875,59.5703125,56.640625,76.171875,0
37.109375,56.640625,52.24609375,65.91796875,0
36.62109375,55.6640625,48.33984375,0.48828125,0
47.36328125,50.78125,49.8046875,6.8359375,0
41.9921875,46.875,45.41015625,63.4765625,0
18.5546875,52.734375,40.0390625,52.24609375,0
12.20703125,58.59375,41.50390625,-16.11328125,0
24.90234375,61.03515625,41.015625,-32.71484375,0
33.69140625,68.84765625,34.66796875,25.390625,0
45.8984375,66.89453125,37.109375,69.82421875,0
43.9453125,67.87109375,40.52734375,27.83203125,0
39.0625,75.68359375,21.484375,-20.5078125,0
39.0625,63.96484375,18.06640625,20.01953125,0
26.3671875,55.6640625,37.59765625,62.01171875,0
20.01953125,54.19921875,44.921875,23.4375,0
20.99609375,55.6640625,51.7578125,-26.85546875,0
26.3671875,50.78125,56.15234375,0.48828125,0
30.76171875,39.55078125,55.6640625,66.40625,0
29.78515625,42.96875,49.31640625,65.4296875,0
33.203125,51.26953125,46.38671875,2.9296875,0
41.015625,59.08203125,33.69140625,-2.44140625,0
43.9453125,59.5703125,18.06640625,69.3359375,0
32.2265625,57.6171875,30.2734375,80.56640625,0
16.11328125,58.10546875,44.921875,3.41796875,0
15.13671875,44.921875,48.33984375,-27.83203125,0
19.04296875,42.48046875,54.19921875,23.4375,0
17.08984375,52.24609375,57.12890625,61.5234375,0
19.04296875,63.4765625,49.8046875,20.99609375,0
25.87890625,51.7578125,50.78125,-24.4140625,0
45.41015625,45.8984375,51.7578125,22.4609375,0
40.52734375,64.94140625,45.41015625,68.84765625,0
1.46484375,71.2890625,25.390625,9.765625,0
-20.01953125,73.73046875,2.9296875,-69.82421875,0
-27.83203125,69.82421875,-2.9296875,-72.265625,0
-35.15625,66.40625,-11.71875,-11.71875,0
-49.31640625,58.10546875,19.04296875,-15.13671875,0
-79.1015625,26.85546875,29.78515625,-125.48828125,0
-92.7734375,-1.46484375,13.18359375,-156.25,0
-94.7265625,1.46484375,11.71875,-87.890625,0
-98.14453125,37.109375,2.9296875,-65.91796875,0
-114.74609375,45.8984375,-5.859375,-126.953125,0
-117.67578125,45.41015625,-6.34765625,-160.15625,0
-112.79296875,53.7109375,10.7421875,-115.234375,0
-129.39453125,32.2265625,45.41015625,-90.33203125,0
-126.46484375,22.94921875,53.7109375,-124.0234375,0
-109.86328125,32.2265625,58.10546875,-153.80859375,0
-78.61328125,31.73828125,37.59765625,-99.609375,0
-49.8046875,18.5546875,20.99609375,-19.04296875,0
-38.0859375,16.6015625,38.0859375,-33.69140625,0
-26.85546875,35.15625,31.73828125,-77.63671875,0
-11.71875,53.22265625,17.08984375,-49.31640625,0
1.953125,59.5703125,17.08984375,22.4609375,0
9.27734375,59.5703125,18.06640625,35.64453125,0
12.6953125,43.45703125,17.578125,-29.78515625,0
21.97265625,35.64453125,25.390625,-34.66796875,0
27.83203125,41.50390625,27.34375,36.1328125,0
30.76171875,41.015625,5.37109375,61.5234375,0
31.73828125,37.59765625,19.53125,15.625,0
26.3671875,29.296875,46.38671875,-27.34375,0
32.71484375,34.66796875,43.9453125,19.53125,0
36.1328125,40.52734375,45.41015625,75.1953125,0
32.71484375,39.55078125,41.9921875,35.15625,0
23.4375,43.9453125,29.78515625,-20.5078125,0
35.15625,47.36328125,14.16015625,12.20703125,0
46.38671875,38.57421875,8.7890625,74.21875,0
29.296875,32.2265625,27.34375,57.6171875,0
27.34375,37.59765625,45.41015625,-4.8828125,0
36.1328125,48.828125,43.45703125,0.48828125,0
43.9453125,48.828125,36.62109375,66.89453125,0
50.29296875,42.48046875,46.38671875,90.8203125,0
